topicID	topic	Level1	Words1	Level2	Words2	Level3	Words3	Level4	Words4	Level5	Words5	Level6	Words6
23	evolutionary evolutionary_ecology mutation evolutionary_dynamics stickleback evolutionary_genomics evolutionary_history mutation_rate evolutionary_genetics evolutionary_theory evolutionary_analyses evolutionary_novelty evolutionary_rates mutation_selection strategy evolutionary_novelty_rate evolutionary_biology evolutionary_change evolutionary_inference evolutionary_response island_colonization metabolic metabolic_rate mutation_coevolution mutation_daphnia mutation_gradient mutation_hypothesis mutation_rates phylogeographic threespine_stickleback changes maternal across adaptation adaptive adaptive_animal adaptive_divergence adaptive_diversification adaptive_dynamics adaptive_evolution	1	evolution next_generation_sequencing population_genetics speciation species gene_flow phylogeography natural_selection gene_expression phylogenetics molecular_evolution species_delimitation model phylogeny diversification using ev	1	evolution speciation phylogenetics molecular_evolution model phylogeny diversification evolutionary behavior biogeography new analysis horizontal_gene_transfer genes trait_evolution plant phylogenomics bayesian_inference tree_life	1	evolution speciation phylogenetics model phylogeny diversification evolutionary biogeography new analysis horizontal_gene_transfer phylogenomics bayesian_inference tree_life dispersal evolutionary_ecology morphological_evolution r	1	evolution speciation diversification evolutionary analysis horizontal_gene_transfer evolutionary_ecology morphological_evolution mutation rates rate education evolutionary_dynamics islands lineage stickleback asexual_reproduction 	1	evolution evolutionary horizontal_gene_transfer evolutionary_ecology mutation education evolutionary_dynamics stickleback evolutionary_genomics evolutionary_history mutation_rate evolutionary_genetics evolutionary_theory distribut	1	evolutionary evolutionary_ecology mutation evolutionary_dynamics stickleback evolutionary_genomics evolutionary_history mutation_rate evolutionary_genetics evolutionary_theory evolutionary_analyses evolutionary_novelty evolutionar
47	evolution horizontal_gene_transfer education distribution morphometrics education_science_education horizontal_transfer study impact horizontal horizontal_symbiont selective across adaptation adaptive adaptive_animal adaptive_divergence adaptive_diversification adaptive_dynamics adaptive_evolution adaptive_genomics adaptive_landscape adaptive_landscape_ecological_speciation adaptive_landscape_population_genomics adaptive_mutations adaptive_radiation adaptive_shifts age american american_black american_freshwater_fishes american_fruit among analyses analysis ancestral ancestral_state_reconstruction animal animal_behavior animal_diversity	1	evolution next_generation_sequencing population_genetics speciation species gene_flow phylogeography natural_selection gene_expression phylogenetics molecular_evolution species_delimitation model phylogeny diversification using ev	1	evolution speciation phylogenetics molecular_evolution model phylogeny diversification evolutionary behavior biogeography new analysis horizontal_gene_transfer genes trait_evolution plant phylogenomics bayesian_inference tree_life	1	evolution speciation phylogenetics model phylogeny diversification evolutionary biogeography new analysis horizontal_gene_transfer phylogenomics bayesian_inference tree_life dispersal evolutionary_ecology morphological_evolution r	1	evolution speciation diversification evolutionary analysis horizontal_gene_transfer evolutionary_ecology morphological_evolution mutation rates rate education evolutionary_dynamics islands lineage stickleback asexual_reproduction 	1	evolution evolutionary horizontal_gene_transfer evolutionary_ecology mutation education evolutionary_dynamics stickleback evolutionary_genomics evolutionary_history mutation_rate evolutionary_genetics evolutionary_theory distribut	2	evolution horizontal_gene_transfer education distribution morphometrics education_science_education horizontal_transfer study impact horizontal horizontal_symbiont selective across adaptation adaptive adaptive_animal adaptive_dive
22	speciation analysis islands assessment species species_delimitation species_tree_freshwater_conservation change environment relationships_among species_interactions species_radiation character evolution experimental relationships across adaptation adaptive adaptive_animal adaptive_divergence adaptive_diversification adaptive_dynamics adaptive_evolution adaptive_genomics adaptive_landscape adaptive_landscape_ecological_speciation adaptive_landscape_population_genomics adaptive_mutations adaptive_radiation adaptive_shifts age american american_black american_freshwater_fishes american_fruit among analyses ancestral ancestral_state_reconstruction	1	evolution next_generation_sequencing population_genetics speciation species gene_flow phylogeography natural_selection gene_expression phylogenetics molecular_evolution species_delimitation model phylogeny diversification using ev	1	evolution speciation phylogenetics molecular_evolution model phylogeny diversification evolutionary behavior biogeography new analysis horizontal_gene_transfer genes trait_evolution plant phylogenomics bayesian_inference tree_life	1	evolution speciation phylogenetics model phylogeny diversification evolutionary biogeography new analysis horizontal_gene_transfer phylogenomics bayesian_inference tree_life dispersal evolutionary_ecology morphological_evolution r	1	evolution speciation diversification evolutionary analysis horizontal_gene_transfer evolutionary_ecology morphological_evolution mutation rates rate education evolutionary_dynamics islands lineage stickleback asexual_reproduction 	2	speciation diversification analysis morphological_evolution rates rate islands lineage asexual_reproduction morphological assessment number morphological_variation novel species species_delimitation deep_sea individual_based novel	3	speciation analysis islands assessment species species_delimitation species_tree_freshwater_conservation change environment relationships_among species_interactions species_radiation character evolution experimental relationships 
25	diversification morphological_evolution rates rate lineage asexual_reproduction morphological number morphological_variation novel deep_sea individual_based novel_environments reproductive_isolation asexual_structured_populations effect number_trait_evolution asexual_daphnia asexual_evolution asexual_simulation deep_divergence deep_history deep_sequencing deep_time different diversity_morphological inbreeding loci morphological_approach morphological_character morphological_differentiation morphological_plasticity population_level deep individual shape across adaptation adaptive adaptive_animal	1	evolution next_generation_sequencing population_genetics speciation species gene_flow phylogeography natural_selection gene_expression phylogenetics molecular_evolution species_delimitation model phylogeny diversification using ev	1	evolution speciation phylogenetics molecular_evolution model phylogeny diversification evolutionary behavior biogeography new analysis horizontal_gene_transfer genes trait_evolution plant phylogenomics bayesian_inference tree_life	1	evolution speciation phylogenetics model phylogeny diversification evolutionary biogeography new analysis horizontal_gene_transfer phylogenomics bayesian_inference tree_life dispersal evolutionary_ecology morphological_evolution r	1	evolution speciation diversification evolutionary analysis horizontal_gene_transfer evolutionary_ecology morphological_evolution mutation rates rate education evolutionary_dynamics islands lineage stickleback asexual_reproduction 	2	speciation diversification analysis morphological_evolution rates rate islands lineage asexual_reproduction morphological assessment number morphological_variation novel species species_delimitation deep_sea individual_based novel	4	diversification morphological_evolution rates rate lineage asexual_reproduction morphological number morphological_variation novel deep_sea individual_based novel_environments reproductive_isolation asexual_structured_populations 
33	phylogenetics tree_life role sequencing tree biogeography body_size dynamics tree_life_insights tree_life_phylogenetics body body_morphology body_shape loci across adaptation adaptive adaptive_animal adaptive_divergence adaptive_diversification adaptive_dynamics adaptive_evolution adaptive_genomics adaptive_landscape adaptive_landscape_ecological_speciation adaptive_landscape_population_genomics adaptive_mutations adaptive_radiation adaptive_shifts age american american_black american_freshwater_fishes american_fruit among analyses analysis ancestral ancestral_state_reconstruction animal	1	evolution next_generation_sequencing population_genetics speciation species gene_flow phylogeography natural_selection gene_expression phylogenetics molecular_evolution species_delimitation model phylogeny diversification using ev	1	evolution speciation phylogenetics molecular_evolution model phylogeny diversification evolutionary behavior biogeography new analysis horizontal_gene_transfer genes trait_evolution plant phylogenomics bayesian_inference tree_life	1	evolution speciation phylogenetics model phylogeny diversification evolutionary biogeography new analysis horizontal_gene_transfer phylogenomics bayesian_inference tree_life dispersal evolutionary_ecology morphological_evolution r	2	phylogenetics model phylogeny biogeography new phylogenomics bayesian_inference tree_life dispersal role sequencing dynamics range_expansion based tree range bayesian bayesian_phylogeography range_size origin body_size landscape_g	3	phylogenetics tree_life role sequencing tree biogeography body_size dynamics tree_life_insights tree_life_phylogenetics body body_morphology body_shape loci across adaptation adaptive adaptive_animal adaptive_divergence adaptive_d	5	(same)
21	phylogeny biogeography dispersal range_expansion based dynamics range range_size origin ancestral range_reconstruction changes colonization divergence genomics theory versus across adaptation adaptive adaptive_animal adaptive_divergence adaptive_diversification adaptive_dynamics adaptive_evolution adaptive_genomics adaptive_landscape adaptive_landscape_ecological_speciation adaptive_landscape_population_genomics adaptive_mutations adaptive_radiation adaptive_shifts age american american_black american_freshwater_fishes american_fruit among analyses analysis	1	evolution next_generation_sequencing population_genetics speciation species gene_flow phylogeography natural_selection gene_expression phylogenetics molecular_evolution species_delimitation model phylogeny diversification using ev	1	evolution speciation phylogenetics molecular_evolution model phylogeny diversification evolutionary behavior biogeography new analysis horizontal_gene_transfer genes trait_evolution plant phylogenomics bayesian_inference tree_life	1	evolution speciation phylogenetics model phylogeny diversification evolutionary biogeography new analysis horizontal_gene_transfer phylogenomics bayesian_inference tree_life dispersal evolutionary_ecology morphological_evolution r	2	phylogenetics model phylogeny biogeography new phylogenomics bayesian_inference tree_life dispersal role sequencing dynamics range_expansion based tree range bayesian bayesian_phylogeography range_size origin body_size landscape_g	4	model phylogeny new phylogenomics bayesian_inference biogeography dispersal range_expansion based dynamics range bayesian bayesian_phylogeography range_size origin landscape_genetics horizontal_gene_transfer landscape_comparative_	7	phylogeny biogeography dispersal range_expansion based dynamics range range_size origin ancestral range_reconstruction changes colonization divergence genomics theory versus across adaptation adaptive adaptive_animal adaptive_dive
29	model new phylogenomics bayesian_inference bayesian bayesian_phylogeography landscape_genetics horizontal_gene_transfer landscape_comparative_phylogeography major bayesian_approach bayesian_phylogenetics dependent_selection landscape_genomics simulation sympatric_speciation sympatric_species dependent growth morphology sympatric across adaptation adaptive adaptive_animal adaptive_divergence adaptive_diversification adaptive_dynamics adaptive_evolution adaptive_genomics adaptive_landscape adaptive_landscape_ecological_speciation adaptive_landscape_population_genomics adaptive_mutations adaptive_radiation adaptive_shifts age american american_black american_freshwater_fishes	1	evolution next_generation_sequencing population_genetics speciation species gene_flow phylogeography natural_selection gene_expression phylogenetics molecular_evolution species_delimitation model phylogeny diversification using ev	1	evolution speciation phylogenetics molecular_evolution model phylogeny diversification evolutionary behavior biogeography new analysis horizontal_gene_transfer genes trait_evolution plant phylogenomics bayesian_inference tree_life	1	evolution speciation phylogenetics model phylogeny diversification evolutionary biogeography new analysis horizontal_gene_transfer phylogenomics bayesian_inference tree_life dispersal evolutionary_ecology morphological_evolution r	2	phylogenetics model phylogeny biogeography new phylogenomics bayesian_inference tree_life dispersal role sequencing dynamics range_expansion based tree range bayesian bayesian_phylogeography range_size origin body_size landscape_g	4	model phylogeny new phylogenomics bayesian_inference biogeography dispersal range_expansion based dynamics range bayesian bayesian_phylogeography range_size origin landscape_genetics horizontal_gene_transfer landscape_comparative_	8	model new phylogenomics bayesian_inference bayesian bayesian_phylogeography landscape_genetics horizontal_gene_transfer landscape_comparative_phylogeography major bayesian_approach bayesian_phylogenetics dependent_selection landsc
31	behavior body_size traits plants radiation endemic trees macroevolution based changes different nuclear body_shape neotropical novel nuclear_loci population_genomics transcriptomics wide_analysis body during flow population south across adaptation adaptive adaptive_animal adaptive_divergence adaptive_diversification adaptive_dynamics adaptive_evolution adaptive_genomics adaptive_landscape adaptive_landscape_ecological_speciation adaptive_landscape_population_genomics adaptive_mutations adaptive_radiation adaptive_shifts age	1	evolution next_generation_sequencing population_genetics speciation species gene_flow phylogeography natural_selection gene_expression phylogenetics molecular_evolution species_delimitation model phylogeny diversification using ev	1	evolution speciation phylogenetics molecular_evolution model phylogeny diversification evolutionary behavior biogeography new analysis horizontal_gene_transfer genes trait_evolution plant phylogenomics bayesian_inference tree_life	2	molecular_evolution evolution behavior genes trait_evolution plant comparative_methods geometric_morphometrics variation body_size cryptic_species floral how traits macroevolution phylogenetic_comparative_methods phylogenetic_infe	3	evolution behavior plant comparative_methods geometric_morphometrics body_size floral how traits pollination plant_animal_interactions plants flower_color radiation through comparative_transcriptomics plant_defense rna_seq endemic	5	evolution behavior geometric_morphometrics body_size how traits plants flower_color radiation through rna_seq endemic flower_color_polymorphism trees macroevolution based changes different geometric rna shape age developmental dev	9	behavior body_size traits plants radiation endemic trees macroevolution based changes different nuclear body_shape neotropical novel nuclear_loci population_genomics transcriptomics wide_analysis body during flow population south 
34	evolution geometric_morphometrics how flower_color through rna_seq flower_color_polymorphism geometric rna shape age developmental developmental_plasticity developmental_thermal_environment flower developmental_changes developmental_networks divergent_selection flower_shape rna_sequencing shape_drift divergent across adaptation adaptive adaptive_animal adaptive_divergence adaptive_diversification adaptive_dynamics adaptive_evolution adaptive_genomics adaptive_landscape adaptive_landscape_ecological_speciation adaptive_landscape_population_genomics adaptive_mutations adaptive_radiation adaptive_shifts american american_black american_freshwater_fishes	1	evolution next_generation_sequencing population_genetics speciation species gene_flow phylogeography natural_selection gene_expression phylogenetics molecular_evolution species_delimitation model phylogeny diversification using ev	1	evolution speciation phylogenetics molecular_evolution model phylogeny diversification evolutionary behavior biogeography new analysis horizontal_gene_transfer genes trait_evolution plant phylogenomics bayesian_inference tree_life	2	molecular_evolution evolution behavior genes trait_evolution plant comparative_methods geometric_morphometrics variation body_size cryptic_species floral how traits macroevolution phylogenetic_comparative_methods phylogenetic_infe	3	evolution behavior plant comparative_methods geometric_morphometrics body_size floral how traits pollination plant_animal_interactions plants flower_color radiation through comparative_transcriptomics plant_defense rna_seq endemic	5	evolution behavior geometric_morphometrics body_size how traits plants flower_color radiation through rna_seq endemic flower_color_polymorphism trees macroevolution based changes different geometric rna shape age developmental dev	10	evolution geometric_morphometrics how flower_color through rna_seq flower_color_polymorphism geometric rna shape age developmental developmental_plasticity developmental_thermal_environment flower developmental_changes development
8	plant comparative_methods floral pollination plant_animal_interactions comparative_transcriptomics plant_defense plant_insect_interaction comparative_phylogeography comparative_analysis comparative_study floral_traits plant_animal_interaction plant_biology plant_insect_interactions comparative comparative_genetics floral_development floral_morphology floral_pigmentation sympatric_speciation comparative_geometric_morphometrics plant_animal_mutualism plant_mating_system plant_sex_allocation comparative_approach comparative_data comparative_genomic comparative_genomics floral_evolution mimicry plant_breeding plant_growth plant_species plant_variation sympatric_divergence across adaptation adaptive adaptive_animal	1	evolution next_generation_sequencing population_genetics speciation species gene_flow phylogeography natural_selection gene_expression phylogenetics molecular_evolution species_delimitation model phylogeny diversification using ev	1	evolution speciation phylogenetics molecular_evolution model phylogeny diversification evolutionary behavior biogeography new analysis horizontal_gene_transfer genes trait_evolution plant phylogenomics bayesian_inference tree_life	2	molecular_evolution evolution behavior genes trait_evolution plant comparative_methods geometric_morphometrics variation body_size cryptic_species floral how traits macroevolution phylogenetic_comparative_methods phylogenetic_infe	3	evolution behavior plant comparative_methods geometric_morphometrics body_size floral how traits pollination plant_animal_interactions plants flower_color radiation through comparative_transcriptomics plant_defense rna_seq endemic	6	plant comparative_methods floral pollination plant_animal_interactions comparative_transcriptomics plant_defense plant_insect_interaction comparative_phylogeography comparative_analysis comparative_study floral_traits plant_animal	11	(same)
