Level1	Level2	Level3	Level4	Level5	Level6	2013
L1-1:evolution next_generation_sequencing population_genetics speciation species gene_flow phylogeography natural_selection gene_expression phylogenetics molecular_evolution species_delimitation model phylogeny diversification using ev	L2-1:evolution speciation phylogenetics molecular_evolution model phylogeny diversification evolutionary behavior biogeography new analysis horizontal_gene_transfer genes trait_evolution plant phylogenomics bayesian_inference tree_life	L3-1:evolution speciation phylogenetics model phylogeny diversification evolutionary biogeography new analysis horizontal_gene_transfer phylogenomics bayesian_inference tree_life dispersal evolutionary_ecology morphological_evolution r	L4-1:evolution speciation diversification evolutionary analysis horizontal_gene_transfer evolutionary_ecology morphological_evolution mutation rates rate education evolutionary_dynamics islands lineage stickleback asexual_reproduction 	L5-1:evolution evolutionary horizontal_gene_transfer evolutionary_ecology mutation education evolutionary_dynamics stickleback evolutionary_genomics evolutionary_history mutation_rate evolutionary_genetics evolutionary_theory distribut	L6-1:evolutionary evolutionary_ecology mutation evolutionary_dynamics stickleback evolutionary_genomics evolutionary_history mutation_rate evolutionary_genetics evolutionary_theory evolutionary_analyses evolutionary_novelty evolutionar	25.418752
L1-1:evolution next_generation_sequencing population_genetics speciation species gene_flow phylogeography natural_selection gene_expression phylogenetics molecular_evolution species_delimitation model phylogeny diversification using ev	L2-1:evolution speciation phylogenetics molecular_evolution model phylogeny diversification evolutionary behavior biogeography new analysis horizontal_gene_transfer genes trait_evolution plant phylogenomics bayesian_inference tree_life	L3-1:evolution speciation phylogenetics model phylogeny diversification evolutionary biogeography new analysis horizontal_gene_transfer phylogenomics bayesian_inference tree_life dispersal evolutionary_ecology morphological_evolution r	L4-1:evolution speciation diversification evolutionary analysis horizontal_gene_transfer evolutionary_ecology morphological_evolution mutation rates rate education evolutionary_dynamics islands lineage stickleback asexual_reproduction 	L5-1:evolution evolutionary horizontal_gene_transfer evolutionary_ecology mutation education evolutionary_dynamics stickleback evolutionary_genomics evolutionary_history mutation_rate evolutionary_genetics evolutionary_theory distribut	L6-2:evolution horizontal_gene_transfer education distribution morphometrics education_science_education horizontal_transfer study impact horizontal horizontal_symbiont selective across adaptation adaptive adaptive_animal adaptive_dive	26.535303
L1-1:evolution next_generation_sequencing population_genetics speciation species gene_flow phylogeography natural_selection gene_expression phylogenetics molecular_evolution species_delimitation model phylogeny diversification using ev	L2-1:evolution speciation phylogenetics molecular_evolution model phylogeny diversification evolutionary behavior biogeography new analysis horizontal_gene_transfer genes trait_evolution plant phylogenomics bayesian_inference tree_life	L3-1:evolution speciation phylogenetics model phylogeny diversification evolutionary biogeography new analysis horizontal_gene_transfer phylogenomics bayesian_inference tree_life dispersal evolutionary_ecology morphological_evolution r	L4-1:evolution speciation diversification evolutionary analysis horizontal_gene_transfer evolutionary_ecology morphological_evolution mutation rates rate education evolutionary_dynamics islands lineage stickleback asexual_reproduction 	L5-2:speciation diversification analysis morphological_evolution rates rate islands lineage asexual_reproduction morphological assessment number morphological_variation novel species species_delimitation deep_sea individual_based novel	L6-3:speciation analysis islands assessment species species_delimitation species_tree_freshwater_conservation change environment relationships_among species_interactions species_radiation character evolution experimental relationships 	20.045420
L1-1:evolution next_generation_sequencing population_genetics speciation species gene_flow phylogeography natural_selection gene_expression phylogenetics molecular_evolution species_delimitation model phylogeny diversification using ev	L2-1:evolution speciation phylogenetics molecular_evolution model phylogeny diversification evolutionary behavior biogeography new analysis horizontal_gene_transfer genes trait_evolution plant phylogenomics bayesian_inference tree_life	L3-1:evolution speciation phylogenetics model phylogeny diversification evolutionary biogeography new analysis horizontal_gene_transfer phylogenomics bayesian_inference tree_life dispersal evolutionary_ecology morphological_evolution r	L4-1:evolution speciation diversification evolutionary analysis horizontal_gene_transfer evolutionary_ecology morphological_evolution mutation rates rate education evolutionary_dynamics islands lineage stickleback asexual_reproduction 	L5-2:speciation diversification analysis morphological_evolution rates rate islands lineage asexual_reproduction morphological assessment number morphological_variation novel species species_delimitation deep_sea individual_based novel	L6-4:diversification morphological_evolution rates rate lineage asexual_reproduction morphological number morphological_variation novel deep_sea individual_based novel_environments reproductive_isolation asexual_structured_populations 	25.378160
L1-1:evolution next_generation_sequencing population_genetics speciation species gene_flow phylogeography natural_selection gene_expression phylogenetics molecular_evolution species_delimitation model phylogeny diversification using ev	L2-1:evolution speciation phylogenetics molecular_evolution model phylogeny diversification evolutionary behavior biogeography new analysis horizontal_gene_transfer genes trait_evolution plant phylogenomics bayesian_inference tree_life	L3-1:evolution speciation phylogenetics model phylogeny diversification evolutionary biogeography new analysis horizontal_gene_transfer phylogenomics bayesian_inference tree_life dispersal evolutionary_ecology morphological_evolution r	L4-2:phylogenetics model phylogeny biogeography new phylogenomics bayesian_inference tree_life dispersal role sequencing dynamics range_expansion based tree range bayesian bayesian_phylogeography range_size origin body_size landscape_g	L5-3:phylogenetics tree_life role sequencing tree biogeography body_size dynamics tree_life_insights tree_life_phylogenetics body body_morphology body_shape loci across adaptation adaptive adaptive_animal adaptive_divergence adaptive_d	L6-5:(phylogenetics tree_life role sequencing tree biogeography body_size dynamics tree_life_insights tree_life_phylogenetics body body_morphology body_shape loci across adaptation adaptive adaptive_animal adaptive_divergence adaptive_d)	25.729759
L1-1:evolution next_generation_sequencing population_genetics speciation species gene_flow phylogeography natural_selection gene_expression phylogenetics molecular_evolution species_delimitation model phylogeny diversification using ev	L2-1:evolution speciation phylogenetics molecular_evolution model phylogeny diversification evolutionary behavior biogeography new analysis horizontal_gene_transfer genes trait_evolution plant phylogenomics bayesian_inference tree_life	L3-1:evolution speciation phylogenetics model phylogeny diversification evolutionary biogeography new analysis horizontal_gene_transfer phylogenomics bayesian_inference tree_life dispersal evolutionary_ecology morphological_evolution r	L4-2:phylogenetics model phylogeny biogeography new phylogenomics bayesian_inference tree_life dispersal role sequencing dynamics range_expansion based tree range bayesian bayesian_phylogeography range_size origin body_size landscape_g	L5-4:model phylogeny new phylogenomics bayesian_inference biogeography dispersal range_expansion based dynamics range bayesian bayesian_phylogeography range_size origin landscape_genetics horizontal_gene_transfer landscape_comparative_	L6-7:phylogeny biogeography dispersal range_expansion based dynamics range range_size origin ancestral range_reconstruction changes colonization divergence genomics theory versus across adaptation adaptive adaptive_animal adaptive_dive	24.774726
L1-1:evolution next_generation_sequencing population_genetics speciation species gene_flow phylogeography natural_selection gene_expression phylogenetics molecular_evolution species_delimitation model phylogeny diversification using ev	L2-1:evolution speciation phylogenetics molecular_evolution model phylogeny diversification evolutionary behavior biogeography new analysis horizontal_gene_transfer genes trait_evolution plant phylogenomics bayesian_inference tree_life	L3-1:evolution speciation phylogenetics model phylogeny diversification evolutionary biogeography new analysis horizontal_gene_transfer phylogenomics bayesian_inference tree_life dispersal evolutionary_ecology morphological_evolution r	L4-2:phylogenetics model phylogeny biogeography new phylogenomics bayesian_inference tree_life dispersal role sequencing dynamics range_expansion based tree range bayesian bayesian_phylogeography range_size origin body_size landscape_g	L5-4:model phylogeny new phylogenomics bayesian_inference biogeography dispersal range_expansion based dynamics range bayesian bayesian_phylogeography range_size origin landscape_genetics horizontal_gene_transfer landscape_comparative_	L6-8:model new phylogenomics bayesian_inference bayesian bayesian_phylogeography landscape_genetics horizontal_gene_transfer landscape_comparative_phylogeography major bayesian_approach bayesian_phylogenetics dependent_selection landsc	24.602315
L1-1:evolution next_generation_sequencing population_genetics speciation species gene_flow phylogeography natural_selection gene_expression phylogenetics molecular_evolution species_delimitation model phylogeny diversification using ev	L2-1:evolution speciation phylogenetics molecular_evolution model phylogeny diversification evolutionary behavior biogeography new analysis horizontal_gene_transfer genes trait_evolution plant phylogenomics bayesian_inference tree_life	L3-2:molecular_evolution evolution behavior genes trait_evolution plant comparative_methods geometric_morphometrics variation body_size cryptic_species floral how traits macroevolution phylogenetic_comparative_methods phylogenetic_infe	L4-3:evolution behavior plant comparative_methods geometric_morphometrics body_size floral how traits pollination plant_animal_interactions plants flower_color radiation through comparative_transcriptomics plant_defense rna_seq endemic	L5-5:evolution behavior geometric_morphometrics body_size how traits plants flower_color radiation through rna_seq endemic flower_color_polymorphism trees macroevolution based changes different geometric rna shape age developmental dev	L6-9:behavior body_size traits plants radiation endemic trees macroevolution based changes different nuclear body_shape neotropical novel nuclear_loci population_genomics transcriptomics wide_analysis body during flow population south 	20.927199
L1-1:evolution next_generation_sequencing population_genetics speciation species gene_flow phylogeography natural_selection gene_expression phylogenetics molecular_evolution species_delimitation model phylogeny diversification using ev	L2-1:evolution speciation phylogenetics molecular_evolution model phylogeny diversification evolutionary behavior biogeography new analysis horizontal_gene_transfer genes trait_evolution plant phylogenomics bayesian_inference tree_life	L3-2:molecular_evolution evolution behavior genes trait_evolution plant comparative_methods geometric_morphometrics variation body_size cryptic_species floral how traits macroevolution phylogenetic_comparative_methods phylogenetic_infe	L4-3:evolution behavior plant comparative_methods geometric_morphometrics body_size floral how traits pollination plant_animal_interactions plants flower_color radiation through comparative_transcriptomics plant_defense rna_seq endemic	L5-5:evolution behavior geometric_morphometrics body_size how traits plants flower_color radiation through rna_seq endemic flower_color_polymorphism trees macroevolution based changes different geometric rna shape age developmental dev	L6-10:evolution geometric_morphometrics how flower_color through rna_seq flower_color_polymorphism geometric rna shape age developmental developmental_plasticity developmental_thermal_environment flower developmental_changes development	22.809261
L1-1:evolution next_generation_sequencing population_genetics speciation species gene_flow phylogeography natural_selection gene_expression phylogenetics molecular_evolution species_delimitation model phylogeny diversification using ev	L2-1:evolution speciation phylogenetics molecular_evolution model phylogeny diversification evolutionary behavior biogeography new analysis horizontal_gene_transfer genes trait_evolution plant phylogenomics bayesian_inference tree_life	L3-2:molecular_evolution evolution behavior genes trait_evolution plant comparative_methods geometric_morphometrics variation body_size cryptic_species floral how traits macroevolution phylogenetic_comparative_methods phylogenetic_infe	L4-3:evolution behavior plant comparative_methods geometric_morphometrics body_size floral how traits pollination plant_animal_interactions plants flower_color radiation through comparative_transcriptomics plant_defense rna_seq endemic	L5-6:plant comparative_methods floral pollination plant_animal_interactions comparative_transcriptomics plant_defense plant_insect_interaction comparative_phylogeography comparative_analysis comparative_study floral_traits plant_animal	L6-11:(plant comparative_methods floral pollination plant_animal_interactions comparative_transcriptomics plant_defense plant_insect_interaction comparative_phylogeography comparative_analysis comparative_study floral_traits plant_animal)	26.277452
