columnID	columnName
1	evolution both two 2 b recombination most while among based r 3 d region 1 mammalian vertebrates following mainly whereas linked analysis mammals however occur within t 5 length chromosome 2_n_equals exhibit x known linkage_disequilibrium three egg u
2	evolution family two lineages origin three s one lineage analysis derived diverse groups present ancestral analyses combined particular second characters families five four ancient presence order resulted possible basal forms amphibian followed expan
3	variation genetic_diversity traits associated genetic_variation patterns phenotypic_plasticity divergence across observed genetic_basis common genetic_differentiation different genetic natural_selection trait along study between differentiation genet
4	genes gene gene_flow genome gene_expression expression identified genomes drosophila_melanogaster doi_10_1038_hdy_2012 horizontal_gene_transfer genome_size gene_family specific expressed elements regions ef_1_alpha purifying_selection genome_wide her
5	sexual_selection females males male birds reproductive_isolation sexual_dimorphism sex mate_choice sex_ratio sex_chromosomes female sperm_competition reproductive_success sexual_reproduction parental_care components reproductive sexual_size_dimorphis
6	including sequences hypothesis non suggest like well among phylogeny phylogenetic_analysis support type because study especially phylogenetic_signal relationships several proposed long_term represent considered features phylogenetic_relationships com
7	evolution effect fitness resistance how mutations same both not escherichia_coli one experimental_evolution effects dynamics behavior theory beneficial_mutations under affect environment individual increases social expected costs selected given epist
8	show high human although through compared evidence increase pattern time consistent process each find humans rates observed however comparison results general increased particularly emergence results_suggest importance large high_levels evolve impact
9	life_history during development life_history_evolution life_history_traits growth insects not evolved mechanism hox_genes rather stem_cells while addition form drosophila_melanogaster life_cycle structures thus leading adult larval long_term growth_r
10	evolution found changes only related not reduced result higher levels may showed level investigated study p similar ability overall e results_suggest might change novemberel range shown results_indicate studied examined conclusions greater potential 
11	between plants host plant bacteria production trade_offs virulence within strains competition different whether coevolution pathogen can cooperation hosts parasites however parasite pathogens infection among bacterial natural_selection against diseas
12	diversity adaptation adaptive_evolution adaptive_radiation environments effects local_adaptation habitats limited climate_change marchine fish habitat ecological_speciation environmental_conditions ecology fishes how lake water environment adaptive m
13	populations selection population natural_selection rate individuals population_structure population_genetics because model due can polymorphism inbreeding_depression population_size estimates alleles adaptation effective_population_size less even nat
14	species between speciation dispersal m patterns both suggesting within hybridization revealed although complex contrast characterized closely_related g different whereas among rare island significant hybrid islands identification occurs hybrid_zone i
15	species genus diversification phylogeny taxa group within c_2013_elsevier_inc clade new genera clades biogeography groups mitochondrial_dna molecular_phylogeny h divergence mitochondrial_genomes based phylogenetic_analysis radiation several endemic e
16	c_2013_elsevier_inc c_2013_linnean_society_london_biological c using l number c_2012_elsevier_inc quantpct individuals distribution regions low history c_2012_linnean_society_london_biological despite marchkers detected n north_america north_american
17	model models data using maximum_likelihood studies data_set use molecular_evolution method based data_sets information approach inference analysis methods new hypotheses trees tree used current biological molecular_phylogeny approaches number underst
18	such evolution many role system often mechanisms organisms cells known can systems animals case convergent_evolution important yet animal flowering_plants critical how pollination polyploidy processes include well complex independently framework insi
19	evolution positive_selection proteins protein function functional structure sites multiple amino_acid_sites through functions maximum_likelihood protein_coding_genes loss conclusions domain found background relative during evolutionary_history multip
20	body_size size 2013_c_2013_wiley_periodicals_inc morphology early shape fossil_record extant larger pattern geometric_morphometrics primates modern_humans body_mass mammals formation fossil relationship_between specimens suggests similar early_cretac
