rowID	kmeans20	kmeans20_conf	rowName
30	1	0.196210	inputFiles/WOSCorpus(30)
77	1	0.143091	inputFiles/WOSCorpus(77)
106	1	0.189556	inputFiles/WOSCorpus(106)
192	1	0.115946	inputFiles/WOSCorpus(192)
242	1	0.194504	inputFiles/WOSCorpus(242)
260	1	0.093202	inputFiles/WOSCorpus(260)
290	1	0.063752	inputFiles/WOSCorpus(290)
338	1	0.133771	inputFiles/WOSCorpus(338)
561	1	0.115395	inputFiles/WOSCorpus(561)
694	1	0.101142	inputFiles/WOSCorpus(694)
710	1	0.227208	inputFiles/WOSCorpus(710)
718	1	0.107644	inputFiles/WOSCorpus(718)
808	1	0.058476	inputFiles/WOSCorpus(808)
833	1	0.132455	inputFiles/WOSCorpus(833)
886	1	0.159265	inputFiles/WOSCorpus(886)
888	1	0.172616	inputFiles/WOSCorpus(888)
18	2	0.204537	inputFiles/WOSCorpus(18)
39	2	0.113425	inputFiles/WOSCorpus(39)
60	2	0.147220	inputFiles/WOSCorpus(60)
149	2	0.096286	inputFiles/WOSCorpus(149)
187	2	0.138915	inputFiles/WOSCorpus(187)
218	2	0.255627	inputFiles/WOSCorpus(218)
248	2	0.207162	inputFiles/WOSCorpus(248)
257	2	0.111433	inputFiles/WOSCorpus(257)
265	2	0.200417	inputFiles/WOSCorpus(265)
286	2	0.218914	inputFiles/WOSCorpus(286)
292	2	0.173406	inputFiles/WOSCorpus(292)
310	2	0.174837	inputFiles/WOSCorpus(310)
316	2	0.151420	inputFiles/WOSCorpus(316)
330	2	0.200706	inputFiles/WOSCorpus(330)
333	2	0.134202	inputFiles/WOSCorpus(333)
349	2	0.161044	inputFiles/WOSCorpus(349)
360	2	0.289082	inputFiles/WOSCorpus(360)
372	2	0.106851	inputFiles/WOSCorpus(372)
376	2	0.205546	inputFiles/WOSCorpus(376)
378	2	0.159915	inputFiles/WOSCorpus(378)
414	2	0.212589	inputFiles/WOSCorpus(414)
417	2	0.179040	inputFiles/WOSCorpus(417)
451	2	0.154207	inputFiles/WOSCorpus(451)
527	2	0.203453	inputFiles/WOSCorpus(527)
538	2	0.195400	inputFiles/WOSCorpus(538)
549	2	0.068300	inputFiles/WOSCorpus(549)
567	2	0.238288	inputFiles/WOSCorpus(567)
582	2	0.056765	inputFiles/WOSCorpus(582)
614	2	0.231442	inputFiles/WOSCorpus(614)
618	2	0.160564	inputFiles/WOSCorpus(618)
656	2	0.151171	inputFiles/WOSCorpus(656)
679	2	0.112247	inputFiles/WOSCorpus(679)
682	2	0.112657	inputFiles/WOSCorpus(682)
700	2	0.178512	inputFiles/WOSCorpus(700)
706	2	0.167925	inputFiles/WOSCorpus(706)
743	2	0.270532	inputFiles/WOSCorpus(743)
775	2	0.112030	inputFiles/WOSCorpus(775)
797	2	0.112347	inputFiles/WOSCorpus(797)
829	2	0.133930	inputFiles/WOSCorpus(829)
859	2	0.164010	inputFiles/WOSCorpus(859)
860	2	0.162939	inputFiles/WOSCorpus(860)
878	2	0.167180	inputFiles/WOSCorpus(878)
960	2	0.137203	inputFiles/WOSCorpus(960)
24	3	0.109975	inputFiles/WOSCorpus(24)
29	3	0.116004	inputFiles/WOSCorpus(29)
73	3	0.120950	inputFiles/WOSCorpus(73)
151	3	0.066143	inputFiles/WOSCorpus(151)
166	3	0.112813	inputFiles/WOSCorpus(166)
182	3	0.139356	inputFiles/WOSCorpus(182)
254	3	0.172961	inputFiles/WOSCorpus(254)
302	3	0.114640	inputFiles/WOSCorpus(302)
413	3	0.048441	inputFiles/WOSCorpus(413)
418	3	0.188362	inputFiles/WOSCorpus(418)
435	3	0.151042	inputFiles/WOSCorpus(435)
442	3	0.070994	inputFiles/WOSCorpus(442)
574	3	0.073206	inputFiles/WOSCorpus(574)
692	3	0.132815	inputFiles/WOSCorpus(692)
713	3	0.245260	inputFiles/WOSCorpus(713)
730	3	0.163981	inputFiles/WOSCorpus(730)
778	3	0.089362	inputFiles/WOSCorpus(778)
781	3	0.096206	inputFiles/WOSCorpus(781)
800	3	0.117691	inputFiles/WOSCorpus(800)
801	3	0.103319	inputFiles/WOSCorpus(801)
803	3	0.127795	inputFiles/WOSCorpus(803)
804	3	0.176698	inputFiles/WOSCorpus(804)
855	3	0.108752	inputFiles/WOSCorpus(855)
877	3	0.071085	inputFiles/WOSCorpus(877)
954	3	0.128952	inputFiles/WOSCorpus(954)
44	4	0.166402	inputFiles/WOSCorpus(44)
48	4	0.139791	inputFiles/WOSCorpus(48)
70	4	0.182807	inputFiles/WOSCorpus(70)
74	4	0.108162	inputFiles/WOSCorpus(74)
189	4	0.231658	inputFiles/WOSCorpus(189)
240	4	0.215049	inputFiles/WOSCorpus(240)
258	4	0.157378	inputFiles/WOSCorpus(258)
276	4	0.158247	inputFiles/WOSCorpus(276)
293	4	0.223644	inputFiles/WOSCorpus(293)
315	4	0.133448	inputFiles/WOSCorpus(315)
320	4	0.206730	inputFiles/WOSCorpus(320)
337	4	0.191151	inputFiles/WOSCorpus(337)
368	4	0.203110	inputFiles/WOSCorpus(368)
427	4	0.151318	inputFiles/WOSCorpus(427)
444	4	0.056124	inputFiles/WOSCorpus(444)
488	4	0.224055	inputFiles/WOSCorpus(488)
525	4	0.119691	inputFiles/WOSCorpus(525)
553	4	0.112828	inputFiles/WOSCorpus(553)
637	4	0.156421	inputFiles/WOSCorpus(637)
657	4	0.222111	inputFiles/WOSCorpus(657)
764	4	0.190946	inputFiles/WOSCorpus(764)
857	4	0.181794	inputFiles/WOSCorpus(857)
862	4	0.166858	inputFiles/WOSCorpus(862)
910	4	0.209605	inputFiles/WOSCorpus(910)
1	5	0.221312	inputFiles/WOSCorpus(1)
23	5	0.090023	inputFiles/WOSCorpus(23)
84	5	0.142844	inputFiles/WOSCorpus(84)
136	5	0.083163	inputFiles/WOSCorpus(136)
155	5	0.130137	inputFiles/WOSCorpus(155)
228	5	0.187760	inputFiles/WOSCorpus(228)
234	5	0.130103	inputFiles/WOSCorpus(234)
324	5	0.146942	inputFiles/WOSCorpus(324)
402	5	0.139152	inputFiles/WOSCorpus(402)
422	5	0.172923	inputFiles/WOSCorpus(422)
431	5	0.176046	inputFiles/WOSCorpus(431)
452	5	0.138096	inputFiles/WOSCorpus(452)
480	5	0.188813	inputFiles/WOSCorpus(480)
504	5	0.117217	inputFiles/WOSCorpus(504)
530	5	0.085362	inputFiles/WOSCorpus(530)
578	5	0.150149	inputFiles/WOSCorpus(578)
623	5	0.149607	inputFiles/WOSCorpus(623)
680	5	0.043432	inputFiles/WOSCorpus(680)
716	5	0.086535	inputFiles/WOSCorpus(716)
733	5	0.078551	inputFiles/WOSCorpus(733)
757	5	0.268454	inputFiles/WOSCorpus(757)
770	5	0.188859	inputFiles/WOSCorpus(770)
780	5	0.196535	inputFiles/WOSCorpus(780)
784	5	0.159292	inputFiles/WOSCorpus(784)
786	5	0.171724	inputFiles/WOSCorpus(786)
814	5	0.046197	inputFiles/WOSCorpus(814)
839	5	0.237115	inputFiles/WOSCorpus(839)
869	5	0.165420	inputFiles/WOSCorpus(869)
885	5	0.236791	inputFiles/WOSCorpus(885)
922	5	0.098244	inputFiles/WOSCorpus(922)
923	5	0.074008	inputFiles/WOSCorpus(923)
957	5	0.178201	inputFiles/WOSCorpus(957)
964	5	0.080650	inputFiles/WOSCorpus(964)
969	5	0.111811	inputFiles/WOSCorpus(969)
8	6	0.214859	inputFiles/WOSCorpus(8)
34	6	0.233452	inputFiles/WOSCorpus(34)
78	6	0.136499	inputFiles/WOSCorpus(78)
90	6	0.206006	inputFiles/WOSCorpus(90)
101	6	0.146809	inputFiles/WOSCorpus(101)
180	6	0.115497	inputFiles/WOSCorpus(180)
268	6	0.181640	inputFiles/WOSCorpus(268)
279	6	0.099713	inputFiles/WOSCorpus(279)
317	6	0.127253	inputFiles/WOSCorpus(317)
363	6	0.157770	inputFiles/WOSCorpus(363)
370	6	0.202893	inputFiles/WOSCorpus(370)
373	6	0.073921	inputFiles/WOSCorpus(373)
374	6	0.108756	inputFiles/WOSCorpus(374)
379	6	0.133218	inputFiles/WOSCorpus(379)
482	6	0.165534	inputFiles/WOSCorpus(482)
503	6	0.164032	inputFiles/WOSCorpus(503)
609	6	0.111885	inputFiles/WOSCorpus(609)
625	6	0.244264	inputFiles/WOSCorpus(625)
699	6	0.199984	inputFiles/WOSCorpus(699)
724	6	0.068479	inputFiles/WOSCorpus(724)
782	6	0.181814	inputFiles/WOSCorpus(782)
789	6	0.204451	inputFiles/WOSCorpus(789)
790	6	0.170234	inputFiles/WOSCorpus(790)
807	6	0.163683	inputFiles/WOSCorpus(807)
809	6	0.086435	inputFiles/WOSCorpus(809)
831	6	0.093781	inputFiles/WOSCorpus(831)
840	6	0.097672	inputFiles/WOSCorpus(840)
853	6	0.240390	inputFiles/WOSCorpus(853)
861	6	0.209882	inputFiles/WOSCorpus(861)
929	6	0.069142	inputFiles/WOSCorpus(929)
961	6	0.178951	inputFiles/WOSCorpus(961)
9	7	0.118918	inputFiles/WOSCorpus(9)
52	7	0.087631	inputFiles/WOSCorpus(52)
71	7	0.178999	inputFiles/WOSCorpus(71)
135	7	0.122783	inputFiles/WOSCorpus(135)
154	7	0.178473	inputFiles/WOSCorpus(154)
157	7	0.065844	inputFiles/WOSCorpus(157)
173	7	0.220169	inputFiles/WOSCorpus(173)
194	7	0.184993	inputFiles/WOSCorpus(194)
195	7	0.171368	inputFiles/WOSCorpus(195)
197	7	0.088327	inputFiles/WOSCorpus(197)
198	7	0.077356	inputFiles/WOSCorpus(198)
199	7	0.062773	inputFiles/WOSCorpus(199)
229	7	0.162359	inputFiles/WOSCorpus(229)
249	7	0.129708	inputFiles/WOSCorpus(249)
263	7	0.116492	inputFiles/WOSCorpus(263)
288	7	0.157706	inputFiles/WOSCorpus(288)
306	7	0.242077	inputFiles/WOSCorpus(306)
312	7	0.156096	inputFiles/WOSCorpus(312)
331	7	0.159717	inputFiles/WOSCorpus(331)
335	7	0.086890	inputFiles/WOSCorpus(335)
352	7	0.232072	inputFiles/WOSCorpus(352)
364	7	0.134566	inputFiles/WOSCorpus(364)
371	7	0.086897	inputFiles/WOSCorpus(371)
423	7	0.144606	inputFiles/WOSCorpus(423)
432	7	0.185155	inputFiles/WOSCorpus(432)
440	7	0.128191	inputFiles/WOSCorpus(440)
445	7	0.233903	inputFiles/WOSCorpus(445)
455	7	0.164796	inputFiles/WOSCorpus(455)
458	7	0.124159	inputFiles/WOSCorpus(458)
528	7	0.078081	inputFiles/WOSCorpus(528)
546	7	0.073323	inputFiles/WOSCorpus(546)
555	7	0.160016	inputFiles/WOSCorpus(555)
562	7	0.077832	inputFiles/WOSCorpus(562)
569	7	0.181835	inputFiles/WOSCorpus(569)
600	7	0.143225	inputFiles/WOSCorpus(600)
602	7	0.068360	inputFiles/WOSCorpus(602)
636	7	0.085107	inputFiles/WOSCorpus(636)
646	7	0.253328	inputFiles/WOSCorpus(646)
705	7	0.084000	inputFiles/WOSCorpus(705)
734	7	0.093546	inputFiles/WOSCorpus(734)
738	7	0.075425	inputFiles/WOSCorpus(738)
745	7	0.163923	inputFiles/WOSCorpus(745)
756	7	0.240236	inputFiles/WOSCorpus(756)
767	7	0.095868	inputFiles/WOSCorpus(767)
870	7	0.196866	inputFiles/WOSCorpus(870)
887	7	0.166927	inputFiles/WOSCorpus(887)
894	7	0.163240	inputFiles/WOSCorpus(894)
912	7	0.130211	inputFiles/WOSCorpus(912)
920	7	0.130452	inputFiles/WOSCorpus(920)
942	7	0.080560	inputFiles/WOSCorpus(942)
951	7	0.135128	inputFiles/WOSCorpus(951)
28	8	0.236353	inputFiles/WOSCorpus(28)
41	8	0.073800	inputFiles/WOSCorpus(41)
53	8	0.069052	inputFiles/WOSCorpus(53)
57	8	0.229122	inputFiles/WOSCorpus(57)
83	8	0.059646	inputFiles/WOSCorpus(83)
92	8	0.052814	inputFiles/WOSCorpus(92)
94	8	0.146278	inputFiles/WOSCorpus(94)
96	8	0.153488	inputFiles/WOSCorpus(96)
104	8	0.168450	inputFiles/WOSCorpus(104)
107	8	0.100874	inputFiles/WOSCorpus(107)
108	8	0.036265	inputFiles/WOSCorpus(108)
116	8	0.060465	inputFiles/WOSCorpus(116)
122	8	0.124452	inputFiles/WOSCorpus(122)
124	8	0.186082	inputFiles/WOSCorpus(124)
128	8	0.176664	inputFiles/WOSCorpus(128)
131	8	0.064307	inputFiles/WOSCorpus(131)
138	8	0.230304	inputFiles/WOSCorpus(138)
142	8	0.154089	inputFiles/WOSCorpus(142)
177	8	0.208586	inputFiles/WOSCorpus(177)
179	8	0.038605	inputFiles/WOSCorpus(179)
184	8	0.163310	inputFiles/WOSCorpus(184)
191	8	0.300690	inputFiles/WOSCorpus(191)
226	8	0.111539	inputFiles/WOSCorpus(226)
244	8	0.110240	inputFiles/WOSCorpus(244)
261	8	0.086150	inputFiles/WOSCorpus(261)
282	8	0.046956	inputFiles/WOSCorpus(282)
318	8	0.073230	inputFiles/WOSCorpus(318)
325	8	0.049084	inputFiles/WOSCorpus(325)
327	8	0.131393	inputFiles/WOSCorpus(327)
328	8	0.094105	inputFiles/WOSCorpus(328)
329	8	0.039756	inputFiles/WOSCorpus(329)
334	8	0.088428	inputFiles/WOSCorpus(334)
348	8	0.060122	inputFiles/WOSCorpus(348)
355	8	0.175382	inputFiles/WOSCorpus(355)
356	8	0.248675	inputFiles/WOSCorpus(356)
358	8	0.095896	inputFiles/WOSCorpus(358)
377	8	0.076290	inputFiles/WOSCorpus(377)
383	8	0.179228	inputFiles/WOSCorpus(383)
386	8	0.073383	inputFiles/WOSCorpus(386)
392	8	0.122243	inputFiles/WOSCorpus(392)
425	8	0.138904	inputFiles/WOSCorpus(425)
429	8	0.245299	inputFiles/WOSCorpus(429)
454	8	0.215251	inputFiles/WOSCorpus(454)
489	8	0.055076	inputFiles/WOSCorpus(489)
493	8	0.261103	inputFiles/WOSCorpus(493)
518	8	0.207471	inputFiles/WOSCorpus(518)
531	8	0.089857	inputFiles/WOSCorpus(531)
587	8	0.173874	inputFiles/WOSCorpus(587)
606	8	0.128819	inputFiles/WOSCorpus(606)
619	8	0.140065	inputFiles/WOSCorpus(619)
633	8	0.112788	inputFiles/WOSCorpus(633)
665	8	0.073015	inputFiles/WOSCorpus(665)
674	8	0.057879	inputFiles/WOSCorpus(674)
675	8	0.072815	inputFiles/WOSCorpus(675)
709	8	0.172084	inputFiles/WOSCorpus(709)
729	8	0.158087	inputFiles/WOSCorpus(729)
731	8	0.110990	inputFiles/WOSCorpus(731)
752	8	0.067344	inputFiles/WOSCorpus(752)
754	8	0.094163	inputFiles/WOSCorpus(754)
759	8	0.049905	inputFiles/WOSCorpus(759)
763	8	0.139663	inputFiles/WOSCorpus(763)
765	8	0.102313	inputFiles/WOSCorpus(765)
805	8	0.195962	inputFiles/WOSCorpus(805)
824	8	0.053044	inputFiles/WOSCorpus(824)
830	8	0.221079	inputFiles/WOSCorpus(830)
845	8	0.128789	inputFiles/WOSCorpus(845)
865	8	0.100470	inputFiles/WOSCorpus(865)
875	8	0.186227	inputFiles/WOSCorpus(875)
900	8	0.130264	inputFiles/WOSCorpus(900)
905	8	0.111685	inputFiles/WOSCorpus(905)
906	8	0.074792	inputFiles/WOSCorpus(906)
907	8	0.084197	inputFiles/WOSCorpus(907)
930	8	0.138772	inputFiles/WOSCorpus(930)
931	8	0.123087	inputFiles/WOSCorpus(931)
11	9	0.115005	inputFiles/WOSCorpus(11)
59	9	0.237543	inputFiles/WOSCorpus(59)
81	9	0.081964	inputFiles/WOSCorpus(81)
88	9	0.214172	inputFiles/WOSCorpus(88)
89	9	0.053981	inputFiles/WOSCorpus(89)
95	9	0.148618	inputFiles/WOSCorpus(95)
97	9	0.112763	inputFiles/WOSCorpus(97)
98	9	0.051952	inputFiles/WOSCorpus(98)
109	9	0.042292	inputFiles/WOSCorpus(109)
110	9	0.052904	inputFiles/WOSCorpus(110)
121	9	0.170322	inputFiles/WOSCorpus(121)
123	9	0.166728	inputFiles/WOSCorpus(123)
129	9	0.094527	inputFiles/WOSCorpus(129)
139	9	0.085912	inputFiles/WOSCorpus(139)
153	9	0.058139	inputFiles/WOSCorpus(153)
158	9	0.152613	inputFiles/WOSCorpus(158)
160	9	0.079210	inputFiles/WOSCorpus(160)
171	9	0.193155	inputFiles/WOSCorpus(171)
186	9	0.066899	inputFiles/WOSCorpus(186)
231	9	0.059940	inputFiles/WOSCorpus(231)
235	9	0.145179	inputFiles/WOSCorpus(235)
237	9	0.034123	inputFiles/WOSCorpus(237)
251	9	0.126812	inputFiles/WOSCorpus(251)
253	9	0.087055	inputFiles/WOSCorpus(253)
304	9	0.134805	inputFiles/WOSCorpus(304)
313	9	0.164546	inputFiles/WOSCorpus(313)
322	9	0.179139	inputFiles/WOSCorpus(322)
326	9	0.059523	inputFiles/WOSCorpus(326)
357	9	0.209553	inputFiles/WOSCorpus(357)
359	9	0.229001	inputFiles/WOSCorpus(359)
381	9	0.209815	inputFiles/WOSCorpus(381)
384	9	0.171964	inputFiles/WOSCorpus(384)
389	9	0.119578	inputFiles/WOSCorpus(389)
498	9	0.100634	inputFiles/WOSCorpus(498)
524	9	0.144341	inputFiles/WOSCorpus(524)
526	9	0.082723	inputFiles/WOSCorpus(526)
537	9	0.100236	inputFiles/WOSCorpus(537)
547	9	0.029047	inputFiles/WOSCorpus(547)
557	9	0.112598	inputFiles/WOSCorpus(557)
558	9	0.077368	inputFiles/WOSCorpus(558)
579	9	0.123492	inputFiles/WOSCorpus(579)
597	9	0.064083	inputFiles/WOSCorpus(597)
621	9	0.224747	inputFiles/WOSCorpus(621)
628	9	0.091870	inputFiles/WOSCorpus(628)
629	9	0.119088	inputFiles/WOSCorpus(629)
632	9	0.054020	inputFiles/WOSCorpus(632)
641	9	0.092237	inputFiles/WOSCorpus(641)
748	9	0.044803	inputFiles/WOSCorpus(748)
768	9	0.117867	inputFiles/WOSCorpus(768)
769	9	0.077770	inputFiles/WOSCorpus(769)
871	9	0.059935	inputFiles/WOSCorpus(871)
891	9	0.144975	inputFiles/WOSCorpus(891)
909	9	0.048413	inputFiles/WOSCorpus(909)
933	9	0.105092	inputFiles/WOSCorpus(933)
945	9	0.100488	inputFiles/WOSCorpus(945)
32	10	0.175571	inputFiles/WOSCorpus(32)
65	10	0.170109	inputFiles/WOSCorpus(65)
86	10	0.051652	inputFiles/WOSCorpus(86)
150	10	0.164529	inputFiles/WOSCorpus(150)
152	10	0.088529	inputFiles/WOSCorpus(152)
164	10	0.049377	inputFiles/WOSCorpus(164)
183	10	0.058957	inputFiles/WOSCorpus(183)
203	10	0.057864	inputFiles/WOSCorpus(203)
214	10	0.149955	inputFiles/WOSCorpus(214)
215	10	0.142610	inputFiles/WOSCorpus(215)
222	10	0.043367	inputFiles/WOSCorpus(222)
223	10	0.154263	inputFiles/WOSCorpus(223)
225	10	0.144630	inputFiles/WOSCorpus(225)
250	10	0.044758	inputFiles/WOSCorpus(250)
301	10	0.203664	inputFiles/WOSCorpus(301)
365	10	0.066761	inputFiles/WOSCorpus(365)
367	10	0.138613	inputFiles/WOSCorpus(367)
421	10	0.232121	inputFiles/WOSCorpus(421)
434	10	0.131308	inputFiles/WOSCorpus(434)
