rowID	rowName	year	month	day	TITLE	DATE	SOURCE
1	inputFiles/WOSCorpus(1)	2013	6	22	APE-Type Non-LTR Retrotransposons of Multicellular Organisms Encode Virus-Like 2A Oligopeptide Sequences, Which Mediate Translational Recoding during Protein Synthesis	June 22, 2013	MOLECULAR BIOLOGY AND EVOLUTION
2	inputFiles/WOSCorpus(2)	2013	6	22	Endocrine phenotype, reproductive success and survival in the great tit, Parus major	June 22, 2013	JOURNAL OF EVOLUTIONARY BIOLOGY
3	inputFiles/WOSCorpus(3)	2013	6	22	Age-dependent female responses to a male ejaculate signal alter demographic opportunities for selection	June 22, 2013	PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES
4	inputFiles/WOSCorpus(4)	2013	6	22	Evolution of recombination rates in a multi-locus, haploid-selection, symmetric-viability model	June 22, 2013	THEORETICAL POPULATION BIOLOGY
5	inputFiles/WOSCorpus(5)	2013	6	22	Fossil evidence of wing shape in a stem relative of swifts and hummingbirds (Aves, Pan-Apodiformes)	June 22, 2013	PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES
6	inputFiles/WOSCorpus(6)	2013	6	22	Environmental drivers of demographics, habitat use, and behavior during a post-Pleistocene radiation of Bahamas mosquitofish (Gambusia hubbsi)	June 22, 2013	EVOLUTIONARY ECOLOGY
7	inputFiles/WOSCorpus(7)	2013	6	22	Timetree of Aselloidea Reveals Species Diversification Dynamics in Groundwater	June 22, 2013	SYSTEMATIC BIOLOGY
8	inputFiles/WOSCorpus(8)	2013	6	22	Selfish Genes and Plant Speciation	June 22, 2013	EVOLUTIONARY BIOLOGY
9	inputFiles/WOSCorpus(9)	2013	6	22	Urban behavioural adaptation	June 22, 2013	MOLECULAR ECOLOGY
10	inputFiles/WOSCorpus(10)	2013	6	22	Patterns of astragalar fibular facet orientation in extant and fossil primates and their evolutionary implications	June 22, 2013	AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY
11	inputFiles/WOSCorpus(11)	2013	6	22	The Evolution of RuBisCO Stability at the Thermal Limit of Photoautotrophy	June 22, 2013	MOLECULAR BIOLOGY AND EVOLUTION
12	inputFiles/WOSCorpus(12)	2013	6	22	The influence of host demography, pathogen virulence, and relationships with pathogen virulence on the evolution of pathogen transmission in a spatial context	June 22, 2013	EVOLUTIONARY ECOLOGY
13	inputFiles/WOSCorpus(13)	2013	6	22	GENETIC HITCHHIKING AND THE DYNAMIC BUILDUP OF GENOMIC DIVERGENCE DURING SPECIATION WITH GENE FLOW	June 22, 2013	EVOLUTION
14	inputFiles/WOSCorpus(14)	2013	6	22	The Predictive Adaptive Response: Modeling the Life-History Evolution of the Butterfly Bicyclus anynana in Seasonal Environments	June 22, 2013	AMERICAN NATURALIST
15	inputFiles/WOSCorpus(15)	2013	6	22	Primate molecular phylogenetics in a genomic era	June 22, 2013	MOLECULAR PHYLOGENETICS AND EVOLUTION
16	inputFiles/WOSCorpus(16)	2013	6	22	Biological Intuition in Alignment-Free Methods: Response to Posada	June 22, 2013	JOURNAL OF MOLECULAR EVOLUTION
17	inputFiles/WOSCorpus(17)	2013	6	22	Evolution of parental incubation behaviour in dinosaurs cannot be inferred from clutch mass in birds	June 22, 2013	BIOLOGY LETTERS
18	inputFiles/WOSCorpus(18)	2013	6	22	A simple genetic basis for complex social behaviour mediates widespread gene expression differences	June 22, 2013	MOLECULAR ECOLOGY
19	inputFiles/WOSCorpus(19)	2013	6	22	Species tree phylogeny and character evolution in the genus Centipeda (Asteraceae): Evidence from DNA sequences from coding and non-coding loci from the plastid and nuclear genomes	June 22, 2013	MOLECULAR PHYLOGENETICS AND EVOLUTION
20	inputFiles/WOSCorpus(20)	2013	6	22	A calcaneus attributable to the primitive late eocene anthropoid Proteopithecus sylviae: Phenetic affinities and phylogenetic implications	June 22, 2013	AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY
21	inputFiles/WOSCorpus(21)	2013	6	22	Uncovering the genetic basis of adaptive change: on the intersection of landscape genomics and theoretical population genetics	June 22, 2013	MOLECULAR ECOLOGY
22	inputFiles/WOSCorpus(22)	2013	6	22	MITOS: Improved de Novembero metazoan mitochondrial genome annotation	June 22, 2013	MOLECULAR PHYLOGENETICS AND EVOLUTION
23	inputFiles/WOSCorpus(23)	2013	6	22	A comprehensive analysis of bilaterian mitochondrial genomes and phylogeny	June 22, 2013	MOLECULAR PHYLOGENETICS AND EVOLUTION
24	inputFiles/WOSCorpus(24)	2013	6	22	Phylogenetic relationship among genera of Polymorphidae (Acanthocephala), inferred from nuclear and mitochondrial gene sequences	June 22, 2013	MOLECULAR PHYLOGENETICS AND EVOLUTION
25	inputFiles/WOSCorpus(25)	2013	6	22	An offer you cannot refuse: down-regulation of immunity in response to a pathogen's retaliation threat	June 22, 2013	JOURNAL OF EVOLUTIONARY BIOLOGY
26	inputFiles/WOSCorpus(26)	2013	6	22	Drift load in populations of small size and low density	June 22, 2013	HEREDITY
27	inputFiles/WOSCorpus(27)	2013	6	22	Evolutionary divergence in acoustic signals: causes and consequences	June 22, 2013	TRENDS IN ECOLOGY & EVOLUTION
28	inputFiles/WOSCorpus(28)	2013	6	22	Nuclear DNA content variation and evolution in liverworts	June 22, 2013	MOLECULAR PHYLOGENETICS AND EVOLUTION
29	inputFiles/WOSCorpus(29)	2013	6	22	Phylogeography of Troglophilus (Orthoptera: Troglophilinae) based on Anatolian members of the genus: radiation of an old lineage following the Messinian	June 22, 2013	BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY
