rowID	kmeans20	kmeans20_conf	rowName
11	1	0.279633	inputFiles/WOSCorpus(11)
62	1	0.284928	inputFiles/WOSCorpus(62)
92	1	0.135839	inputFiles/WOSCorpus(92)
116	1	0.129607	inputFiles/WOSCorpus(116)
123	1	0.143168	inputFiles/WOSCorpus(123)
139	1	0.197476	inputFiles/WOSCorpus(139)
231	1	0.146701	inputFiles/WOSCorpus(231)
277	1	0.199929	inputFiles/WOSCorpus(277)
317	1	0.269979	inputFiles/WOSCorpus(317)
389	1	0.247660	inputFiles/WOSCorpus(389)
396	1	0.104285	inputFiles/WOSCorpus(396)
411	1	0.231756	inputFiles/WOSCorpus(411)
424	1	0.145015	inputFiles/WOSCorpus(424)
425	1	0.191595	inputFiles/WOSCorpus(425)
516	1	0.230841	inputFiles/WOSCorpus(516)
540	1	0.336155	inputFiles/WOSCorpus(540)
567	1	0.153058	inputFiles/WOSCorpus(567)
612	1	0.309585	inputFiles/WOSCorpus(612)
643	1	0.216161	inputFiles/WOSCorpus(643)
718	1	0.161966	inputFiles/WOSCorpus(718)
729	1	0.230664	inputFiles/WOSCorpus(729)
731	1	0.186917	inputFiles/WOSCorpus(731)
768	1	0.195141	inputFiles/WOSCorpus(768)
801	1	0.155191	inputFiles/WOSCorpus(801)
805	1	0.241956	inputFiles/WOSCorpus(805)
807	1	0.337048	inputFiles/WOSCorpus(807)
840	1	0.169106	inputFiles/WOSCorpus(840)
908	1	0.347911	inputFiles/WOSCorpus(908)
943	1	0.213589	inputFiles/WOSCorpus(943)
965	1	0.245309	inputFiles/WOSCorpus(965)
12	2	0.086315	inputFiles/WOSCorpus(12)
18	2	0.226259	inputFiles/WOSCorpus(18)
117	2	0.081203	inputFiles/WOSCorpus(117)
118	2	0.271535	inputFiles/WOSCorpus(118)
148	2	0.279587	inputFiles/WOSCorpus(148)
250	2	0.242298	inputFiles/WOSCorpus(250)
259	2	0.211188	inputFiles/WOSCorpus(259)
321	2	0.091376	inputFiles/WOSCorpus(321)
341	2	0.106077	inputFiles/WOSCorpus(341)
344	2	0.109497	inputFiles/WOSCorpus(344)
361	2	0.116318	inputFiles/WOSCorpus(361)
367	2	0.102427	inputFiles/WOSCorpus(367)
390	2	0.225548	inputFiles/WOSCorpus(390)
405	2	0.158458	inputFiles/WOSCorpus(405)
406	2	0.092799	inputFiles/WOSCorpus(406)
407	2	0.135909	inputFiles/WOSCorpus(407)
432	2	0.222563	inputFiles/WOSCorpus(432)
434	2	0.151277	inputFiles/WOSCorpus(434)
436	2	0.227058	inputFiles/WOSCorpus(436)
441	2	0.305472	inputFiles/WOSCorpus(441)
466	2	0.097115	inputFiles/WOSCorpus(466)
467	2	0.120557	inputFiles/WOSCorpus(467)
472	2	0.295621	inputFiles/WOSCorpus(472)
564	2	0.065542	inputFiles/WOSCorpus(564)
580	2	0.182035	inputFiles/WOSCorpus(580)
581	2	0.169230	inputFiles/WOSCorpus(581)
611	2	0.114903	inputFiles/WOSCorpus(611)
626	2	0.203527	inputFiles/WOSCorpus(626)
638	2	0.133912	inputFiles/WOSCorpus(638)
639	2	0.087950	inputFiles/WOSCorpus(639)
676	2	0.233799	inputFiles/WOSCorpus(676)
686	2	0.291301	inputFiles/WOSCorpus(686)
692	2	0.224701	inputFiles/WOSCorpus(692)
710	2	0.292575	inputFiles/WOSCorpus(710)
735	2	0.206980	inputFiles/WOSCorpus(735)
741	2	0.062882	inputFiles/WOSCorpus(741)
747	2	0.082318	inputFiles/WOSCorpus(747)
793	2	0.105213	inputFiles/WOSCorpus(793)
810	2	0.056685	inputFiles/WOSCorpus(810)
812	2	0.170044	inputFiles/WOSCorpus(812)
826	2	0.220582	inputFiles/WOSCorpus(826)
841	2	0.081847	inputFiles/WOSCorpus(841)
843	2	0.070999	inputFiles/WOSCorpus(843)
863	2	0.273868	inputFiles/WOSCorpus(863)
867	2	0.236786	inputFiles/WOSCorpus(867)
873	2	0.238129	inputFiles/WOSCorpus(873)
874	2	0.176320	inputFiles/WOSCorpus(874)
880	2	0.098617	inputFiles/WOSCorpus(880)
892	2	0.231794	inputFiles/WOSCorpus(892)
