topicID	topic	Level1	Words1
11	sexual_selection mate_choice male sexual_dimorphism effects sexual_size_dimorphism female growth sexual signals male_sterility poecilia_reticulata visual basal_metabolic_rate bird sexual_reproduction color divergent geographic_variation how not sexual_system colour conflict correlated_evolution growth_rate communities sensory color_polymorphism color_vision colour_pattern colour_polymorphism lizard passerine_bird plumage sexual_conflict small common post signal	1	sexual_selection mate_choice male sexual_dimorphism effects sexual_size_dimorphism female growth sexual signals male_sterility poecilia_reticulata visual basal_metabolic_rate bird sexual_reproduction color divergent geographic_var
3	selection natural_selection natural_populations recombination models mutation 3 linkage_disequilibrium mutation_rate network pattern prey stickleback natural_variation reduction stickleback_gasterosteus_aculeatus_l test age approach mediated red_queen shell evolution gasterosteus_aculeatus_l locus natural flow predator age_dependent deleterious_mutations linkage_map natural_population neutral red stickleback_gasterosteus_aculeatus aggression mutation_substitution_comparative_population_size age_related gasterosteus_aculeatus independent	2	selection natural_selection natural_populations recombination models mutation 3 linkage_disequilibrium mutation_rate network pattern prey stickleback natural_variation reduction stickleback_gasterosteus_aculeatus_l test age approa
10	evolution fish dynamics north_america fishes hymenoptera niche marchine 1 bone habitat mechanisms trait 1_alpha north_american plants use differential general matrix mice cnidaria coleoptera crustacea dominance intron pacific teleostei distribution likelihood loss related variable cryptic_species forest habitat_use role freshwater potential central_nervous_system	3	evolution fish dynamics north_america fishes hymenoptera niche marchine 1 bone habitat mechanisms trait 1_alpha north_american plants use differential general matrix mice cnidaria coleoptera crustacea dominance intron pacific tele
8	speciation adaptive_evolution adaptive_radiation divergence ecological_speciation species divergence_times islands ecological water adaptive_divergence lake threespine_stickleback during darwins_finches temperature introgression adaptive adaptive_dynamics ecological_genetics hybrid_zone across hybrid incompatibility plant hybrid_speciation hybrid_sterility interspecific_competition phenotype sympatric_speciation de ecological_character_displacement ecological_divergence floral_morphology sympatric adaptive_protein_evolution adaptive_radiation_constraint adaptive_response adaptive_responses divergence_time	4	speciation adaptive_evolution adaptive_radiation divergence ecological_speciation species divergence_times islands ecological water adaptive_divergence lake threespine_stickleback during darwins_finches temperature introgression a
19	evolution size behavior trade_offs parental_care brain lepidoptera trade_off behaviour butterflies beetle butterfly classification larval maternal_effects response insects egg g_matrix song brain_size coloration egg_size eye g_protein offspring defense maternal taxonomic egg_size_dimorphism maternal_investment size_dimorphism wing_pattern wing_shape condition egg_size_life_history_evolution infection maternal_care maternal_transfer nervous_system	5	evolution size behavior trade_offs parental_care brain lepidoptera trade_off behaviour butterflies beetle butterfly classification larval maternal_effects response insects egg g_matrix song brain_size coloration egg_size eye g_pro
17	evolution complex human differentiation polymorphism human_genome reveals within shape structure balancing_selection 2 human_evolution ancient convergence reconstruction x_chromosome constraints communication systems frequency human_y_chromosome low stable ancient_dna frequency_dependent modern_humans pathway contemporary perspective allele_frequency community dental_development duplication melanogaster origins preference regulatory_mutations shape_analysis allele	6	evolution complex human differentiation polymorphism human_genome reveals within shape structure balancing_selection 2 human_evolution ancient convergence reconstruction x_chromosome constraints communication systems frequency hum
16	positive_selection protein amino_acid_sites gene resistance gene_expression proteins gene_flow stress gene_duplication gene_family saccharomyces_cerevisiae functional_divergence functional cell cells mammalian expression stem_cells cross evolution protein_coding_genes effect herbicide_resistance yeast amino_acid codon_substitution_models heat protein_evolution secondary_structure mouse functional_morphology gene_conversion codon information secondary binding codon_model expressed_sequence gene_transfer	7	positive_selection protein amino_acid_sites gene resistance gene_expression proteins gene_flow stress gene_duplication gene_family saccharomyces_cerevisiae functional_divergence functional cell cells mammalian expression stem_cell
7	maximum_likelihood dna_sequences dna mitochondrial_dna analysis mixed_models phylogeny data rate phylogenetics mitochondrial_genome using frogs site c dna_polymorphism mitochondrial_genomes deep_sea mtdna phylogenomics trees comparison mitochondrial_dna_sequences angiosperm diptera dna_sequence genomic complete_mitochondrial_genomes dna_sequence_data mitochondrial maximum_likelihood_positive_selection methods among deep frog generation_time maximum_body_size maximum_likelihood_estimation mediterranean mitochondrial_genes	8	maximum_likelihood dna_sequences dna mitochondrial_dna analysis mixed_models phylogeny data rate phylogenetics mitochondrial_genome using frogs site c dna_polymorphism mitochondrial_genomes deep_sea mtdna phylogenomics trees compa
6	variation phenotypic_plasticity dispersal climate_change evidence plant quantitative_trait_loci traits quantitative_genetics leaf rapid plasticity environments plants environmental biological invasive_species nervous_system phenotypic_evolution quantitative_traits amphibian loci time range_expansion invasion quantitative_trait_locus correlation developmental_plasticity environmental_change plant_populations quantitative_trait_locus_mapping space strategies climate density_dependent environmental_stress management phenotypic_divergence phenotypic_traits phenotypic_variance	9	variation phenotypic_plasticity dispersal climate_change evidence plant quantitative_trait_loci traits quantitative_genetics leaf rapid plasticity environments plants environmental biological invasive_species nervous_system phenot
15	life_history life_history_evolution birds reproductive sperm_competition reproductive_isolation competition hypothesis life_history_traits group non atlantic_salmon life mating_system reproductive_success mating_systems sperm behavior clutch_size mating predation gc_biased_gene_conversion intraspecific_variation life_cycle reproductive_isolation_ecological_speciation silene spatial quality fertilization_success gc_content predation_risk study aggression reproductive_character_displacement atlantic_forest clutch_size_egg_mass immune_function length mating_preferences reproductive_strategies	10	life_history life_history_evolution birds reproductive sperm_competition reproductive_isolation competition hypothesis life_history_traits group non atlantic_salmon life mating_system reproductive_success mating_systems sperm beha
1	evolution genes origin expression development analysis domain rna rna_seq through alignment animal genetics rna_secondary_structure cavefish like expansion mimicry hox_genes method rna_interference structural tolerance avian zone animal_model hox_gene_expression mapping melanogaster rna_virus rna_world structural_basis analyses family taxa transcribed_spacer_noncoding_chloroplast_dna animal_phylogeny distance genome interference	11	evolution genes origin expression development analysis domain rna rna_seq through alignment animal genetics rna_secondary_structure cavefish like expansion mimicry hox_genes method rna_interference structural tolerance avian zone 
13	body_size biogeography diversification phylogenetic_analysis mammals new phylogenetic_relationships fossil fossil_record radiation rule long_distance_dispersal homo phylogenetic new_world new_zealand phylogenetic_signal pleistocene south_america allometry lizards larvae colonization skeleton architecture asia mammalia south_american body feeding implications long temporal body_shape control_region eastern eastern_australia long_term mass_extinction middle_eocene	12	body_size biogeography diversification phylogenetic_analysis mammals new phylogenetic_relationships fossil fossil_record radiation rule long_distance_dispersal homo phylogenetic new_world new_zealand phylogenetic_signal pleistocen
