columnID	columnName
1	sea_level_rise rhode_island off ocean oceans waters island along sea fish areas known coastal islands wetlands marine_life places found rising_sea_levels ship sea_level allows salmon fishing ships ecosystems experts_say activities coastal_areas everg
2	minnesota climate_change one while moose population not quantpct see numbers say mark today big only down seeing already among come decline hunting deer northwest hunters mean might big_stone_ii point although just many off reports can between long_t
3	virginia along down area near such between through started c north_carolina coast beach number 1 west one place south feet mountain north sites south_carolina west_virginia around b three larger places until built line pressure across face ground mou
4	free through show http_www org open st_nw_202 team art work life saturday works collection building st club museum 10 21_st_century drive first competition teams open_daily design through_dec_28 through_dec_31 exhibit friday st_petersburg sunday amer
5	such should need needs must important government not approach example while however needed current policies resources problems action include benefit certain clear challenges encourage order benefits public present ensure improve move necessary requi
6	endangered_species endangered_species_act species projects rule bush_administration changes including law rules habitat polar_bears birds federal_government change polar_bear review federal_agencies act new under process wildlife allow interior_depar
7	power coal_fired_power_plants plant project coal power_plants utilities customers nuclear_power quantpct power_plant proposed coal_plants costs plants build electricity coal_fired_plants utility construction site nevada state cost las_vegas company c
8	not even well one here still only no because most yet own just though take back not_only led even_though far little nothing without can name coming live old last_year made since fact comes many sort worse no_longer no_one probably stand
9	year people 2009 see bring one take business events while each community often making event offered email information times during news taking return women found call gives martin new form given themselves name share doing office trip movement speak 
10	winter snow year weather cold record temperatures days warm 2008 average january national_weather_service day week conditions month december spring area normal above degrees forecast below_zero period below coldest temperature inches la_nina last_yea
11	like people down back just came got know first way day thought think wanted something away really went life still things brought work home mind not never days seen took warner put go anything here left turned remember friends himself
12	united_states u_s mr global_warming countries international united_nations china mr_obama world europe european_union nations country agreement deal foreign_policy china_india between ms_carter kyoto_protocol talks ms mr_obama_said new mr_bush treaty
13	group program members first among part groups one include based working effort foundation two association help added created member organization joined several 2005 annual second want 2006 successful three organizations participants interest both awa
14	home use using products homes used cost buy people save buildings store buying house uses paper quantpct savings light recycling built small consumers save_money according building go pay saving customers heat keep value equipment houses bought mater
15	state states california plan governor economy governor_arnold_schwarzenegger legislature budget new including governors costs another schwarzenegger issue business made state_university adopted bill plans sacramento ab_32 californians governor_charli
16	california states cars standards auto_industry vehicles federal_government new automakers car congress fuel_efficiency industry rules emissions washington detroit waiver cars_trucks meet reduce_greenhouse_gas_emissions 2007 bush_administration fuel_e
17	global_warming climate_change earth warming planet scientists ice arctic found data antarctica ice_age study 2007 impact climate greenhouse_gases evidence ice_sheets intergovernmental_panel_climate_change melting scientists_say cooling space nasa cha
18	org com center dollquant saturday park road holiday www christmas day music_midday_noon_jefferson_hotel_101 music friday 7_pmtime children new_york sunday tour new today theater tuesday 2 7 212 3 concert tickets 1 5 santa house monday 7_p_m 8_p_m ava
19	u_s oil utah oil_sands industry oil_prices canada because new country now colorado drilling however salt_lake_city united_states develop canadas jones nation colorado_river demand oil_companies prices natural_gas gasoline mining oil_shale_development
20	play ohio game james one two team again games well run season now sports win another playing top watching point against mike new whether brown peter great time two_years_ago not ever gets points best night 2010 cleveland paul three coach
