rowID	hkmeans5	hkmeans25	hkmeans125	hkmeans584	hkmeans1751	hkmeans2686	hkmeans2916	hkmeans2932	hkmeans5_conf	hkmeans25_conf	hkmeans125_conf	hkmeans584_conf	hkmeans1751_conf	hkmeans2686_conf	hkmeans2916_conf	hkmeans2932_conf	rowName
1134	1	1	1	1	1	1	1	1	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	inputFiles/newspapers20081121to20090131_1000-1499(155)
1451	1	1	1	2	6	26	126	626	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	inputFiles/newspapers20081121to20090131_1000-1499(487)
1969	1	1	1	2	7	31	151	751	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	inputFiles/newspapers20081121to20090131_2000-2499(16)
2503	1	1	1	3	11	51	251	1251	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	inputFiles/newspapers20081121to20090131_2500-2999(63)
562	1	1	1	4	16	76	376	1876	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	inputFiles/newspapers20081121to20090131_0500-0999(75)
2024	1	1	1	4	17	81	401	2001	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	inputFiles/newspapers20081121to20090131_2000-2499(73)
2495	1	1	1	5	21	101	501	2501	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	inputFiles/newspapers20081121to20090131_2500-2999(55)
2807	1	1	1	5	22	106	526	2626	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	inputFiles/newspapers20081121to20090131_2500-2999(375)
94	1	1	2	6	26	126	626	3126	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	inputFiles/newspapers20081121to20090131_0001-0499(95)
594	1	1	2	6	26	127	631	3151	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	inputFiles/newspapers20081121to20090131_0500-0999(107)
648	1	1	2	6	27	131	651	3251	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	inputFiles/newspapers20081121to20090131_0500-0999(161)
