Level1	Level2	Level3	Level4	Level5	Level6	Level7	2009
L1-1:global_warming not one like time people now climate_change because year just through how only even get world no think well work research day down here see students years most science today off com much free know make can life back	L2-1:not like people time one now because global_warming just get how even only think no well here year through students com free know make day see first back still why today org most school way work made going can life	L3-1:not like time now one because global_warming just even people only no think get how here know well make back still why most way much something going today day can right first means too s should little see without good	L4-1:not now because like make well no even one how people why only get most going today can right think time just still here should without money yet better history know want not_only back way good course support means country	L5-1:now not because like make well even how only get most going today can think time just one still here better no right back way means want comes know course look much without fact hope around should own yet not_only	L6-1:not even well one here still only no because most yet own just though take back not_only led even_though far little nothing without can name coming live old last_year made since fact comes many sort worse no_longer no_one probably	L7-1:(not even well one here still only no because most yet own just though take back not_only led even_though far little nothing without can name coming live old last_year made since fact comes many sort worse no_longer no_one probably)	58.845355
L1-1:global_warming not one like time people now climate_change because year just through how only even get world no think well work research day down here see students years most science today off com much free know make can life back	L2-1:not like people time one now because global_warming just get how even only think no well here year through students com free know make day see first back still why today org most school way work made going can life	L3-1:not like time now one because global_warming just even people only no think get how here know well make back still why most way much something going today day can right first means too s should little see without good	L4-1:not now because like make well no even one how people why only get most going today can right think time just still here should without money yet better history know want not_only back way good course support means country	L5-1:now not because like make well even how only get most going today can think time just one still here better no right back way means want comes know course look much without fact hope around should own yet not_only	L6-2:now like because make how get going today think time better can not right way means want know look much hope most around just should good part too getting need something right_now every bad course how_much instead either comes kee	L7-3:like now how today time better means much look most around part something every how_much comes make idea opportunity place thinking kind challenge few question solution whose each having well possible without around_world each_yea	52.329230
L1-1:global_warming not one like time people now climate_change because year just through how only even get world no think well work research day down here see students years most science today off com much free know make can life back	L2-1:not like people time one now because global_warming just get how even only think no well here year through students com free know make day see first back still why today org most school way work made going can life	L3-1:not like time now one because global_warming just even people only no think get how here know well make back still why most way much something going today day can right first means too s should little see without good	L4-1:not now because like make well no even one how people why only get most going today can right think time just still here should without money yet better history know want not_only back way good course support means country	L5-1:now not because like make well even how only get most going today can think time just one still here better no right back way means want comes know course look much without fact hope around should own yet not_only	L6-2:now like because make how get going today think time better can not right way means want know look much hope most around just should good part too getting need something right_now every bad course how_much instead either comes kee	L7-4:because get going make think now can not right way want know hope just should good too getting need right_now bad instead either course keep see why fact only anything let mean big lot back please government tell doing giving	66.964047
L1-1:global_warming not one like time people now climate_change because year just through how only even get world no think well work research day down here see students years most science today off com much free know make can life back	L2-1:not like people time one now because global_warming just get how even only think no well here year through students com free know make day see first back still why today org most school way work made going can life	L3-1:not like time now one because global_warming just even people only no think get how here know well make back still why most way much something going today day can right first means too s should little see without good	L4-1:not now because like make well no even one how people why only get most going today can right think time just still here should without money yet better history know want not_only back way good course support means country	L5-2:not people why money history support no country problem war believe pay world america editor article should left same opinion true without families others yet column wrong failure times evolution taxes benefits iraq responsible ri	L6-3:history country war believe people world america editor why article left true others column wrong evolution iraq right american ones not lost americans re regarding rather great letters_editor poor writer church editorial god upon	L7-5:(history country war believe people world america editor why article left true others column wrong evolution iraq right american ones not lost americans re regarding rather great letters_editor poor writer church editorial god upon)	57.913097
L1-1:global_warming not one like time people now climate_change because year just through how only even get world no think well work research day down here see students years most science today off com much free know make can life back	L2-1:not like people time one now because global_warming just get how even only think no well here year through students com free know make day see first back still why today org most school way work made going can life	L3-1:not like time now one because global_warming just even people only no think get how here know well make back still why most way much something going today day can right first means too s should little see without good	L4-1:not now because like make well no even one how people why only get most going today can right think time just still here should without money yet better history know want not_only back way good course support means country	L5-2:not people why money history support no country problem war believe pay world america editor article should left same opinion true without families others yet column wrong failure times evolution taxes benefits iraq responsible ri	L6-4:not money people support no problem pay why should same without yet times benefits responsible stop taxes case continue same_time huge israel not_only work actions ask one real workers blame taxpayers unfortunately failed opinion 	L7-7:(not money people support no problem pay why should same without yet times benefits responsible stop taxes case continue same_time huge israel not_only work actions ask one real workers blame taxpayers unfortunately failed opinion )	58.391224
L1-1:global_warming not one like time people now climate_change because year just through how only even get world no think well work research day down here see students years most science today off com much free know make can life back	L2-1:not like people time one now because global_warming just get how even only think no well here year through students com free know make day see first back still why today org most school way work made going can life	L3-1:not like time now one because global_warming just even people only no think get how here know well make back still why most way much something going today day can right first means too s should little see without good	L4-2:time global_warming like one day first just s com only here think people know get again down years back got life came things something week end even come man off story little see talk book much family work wrote always	L5-3:global_warming time one s com only again even man off story book much see first wrote how use week years read change especially long_term start end too list no year come despite media think used means last_year news just less	L6-5:time only again even off much see first use years change especially long_term start end too no year come despite list think used means last_year just less wont long get making running worry although instead though wrote turn words	L7-9:(time only again even off much see first use years change especially long_term start end too no year come despite list think used means last_year just less wont long get making running worry although instead though wrote turn words)	58.617504
L1-1:global_warming not one like time people now climate_change because year just through how only even get world no think well work research day down here see students years most science today off com much free know make can life back	L2-1:not like people time one now because global_warming just get how even only think no well here year through students com free know make day see first back still why today org most school way work made going can life	L3-1:not like time now one because global_warming just even people only no think get how here know well make back still why most way much something going today day can right first means too s should little see without good	L4-2:time global_warming like one day first just s com only here think people know get again down years back got life came things something week end even come man off story little see talk book much family work wrote always	L5-3:global_warming time one s com only again even man off story book much see first wrote how use week years read change especially long_term start end too list no year come despite media think used means last_year news just less	L6-6:global_warming s com one man story book how week read media news david talk writes fact called believe stories wrote books show online man_made shows most popular t readers actually causes find following internet reading host seri	L7-11:(global_warming s com one man story book how week read media news david talk writes fact called believe stories wrote books show online man_made shows most popular t readers actually causes find following internet reading host seri)	51.334858
L1-1:global_warming not one like time people now climate_change because year just through how only even get world no think well work research day down here see students years most science today off com much free know make can life back	L2-1:not like people time one now because global_warming just get how even only think no well here year through students com free know make day see first back still why today org most school way work made going can life	L3-1:not like time now one because global_warming just even people only no think get how here know well make back still why most way much something going today day can right first means too s should little see without good	L4-2:time global_warming like one day first just s com only here think people know get again down years back got life came things something week end even come man off story little see talk book much family work wrote always	L5-4:like day here people down know back got just life came things something first family work always way never love thought made think wanted go get away really went little maybe still friends kind brought home movie yes mind not	L6-7:like people down back just came got know first way day thought think wanted something away really went life still things brought work home mind not never days seen took warner put go anything here left turned remember friends hims	L7-13:(like people down back just came got know first way day thought think wanted something away really went life still things brought work home mind not never days seen took warner put go anything here left turned remember friends hims)	58.520295
L1-1:global_warming not one like time people now climate_change because year just through how only even get world no think well work research day down here see students years most science today off com much free know make can life back	L2-1:not like people time one now because global_warming just get how even only think no well here year through students com free know make day see first back still why today org most school way work made going can life	L3-1:not like time now one because global_warming just even people only no think get how here know well make back still why most way much something going today day can right first means too s should little see without good	L4-2:time global_warming like one day first just s com only here think people know get again down years back got life came things something week end even come man off story little see talk book much family work wrote always	L5-4:like day here people down know back got just life came things something first family work always way never love thought made think wanted go get away really went little maybe still friends kind brought home movie yes mind not	L6-8:like day here love made family maybe movie yes always film hands one thing things life ever around happy place little old sure say side try earth night something christmas good get give joe mother hear ok dog favorite know	L7-15:(like day here love made family maybe movie yes always film hands one thing things life ever around happy place little old sure say side try earth night something christmas good get give joe mother hear ok dog favorite know)	55.582377
L1-1:global_warming not one like time people now climate_change because year just through how only even get world no think well work research day down here see students years most science today off com much free know make can life back	L2-1:not like people time one now because global_warming just get how even only think no well here year through students com free know make day see first back still why today org most school way work made going can life	L3-2:students through free people org school year one two children kids show team friday com saturday dollquant new schools http_www center tuesday play ohio game community thursday 2009 james see made sunday events high_school new_yor	L4-3:year one two play ohio game people 2009 see james thursday top against found team new bring take tuesday business events told again office off outside year_old while games two_years_ago during best community three each yesterday c	L5-5:year people 2009 see thursday two found one bring take tuesday business events told office while during community each yesterday called often police making event offered airport year_old email information times news taking reporte	L6-9:year people 2009 see bring one take business events while each community often making event offered email information times during news taking return women found call gives martin new form given themselves name share doing office 	L7-17:(year people 2009 see bring one take business events while each community often making event offered email information times during news taking return women found call gives martin new form given themselves name share doing office )	49.119076
